plot_id,ACRU,ACSA,BEPA,FAGR,POGR,POTR,QURU,PIRE,PIST
CP9454,0,0.5,0,0,0,0,0.5,0,0
BP36,0.3,0,0,0,0.3,0,0.3,0.1,0
BP48,0.3,0,0,0,0.3,0,0.3,0.1,0
PSA1972,0.4,0,0,0,0.5,0,0,0.05,0.05
BP80,0.1,0,0,0,0.9,0,0,0,0
BP98,0,0,0,0,1,0,0,0,0
